Group Size,Blackboard Size,Time when Completed,Computational Cost
10,7,879.60000000,0.00242394
10,7,756.60000000,0.00208499
10,7,6316.80000001,0.01740741
10,7,5852.90000000,0.01612902
10,7,794.10000000,0.00218833
10,7,1374.80000000,0.00378858
10,7,7142.20000001,0.01968199
10,7,3247.10000000,0.00894814
10,7,2885.60000000,0.00795194
10,7,4303.20000000,0.01185847
10,6,2849.90000000,0.00785356
10,6,2593.60000000,0.00714727
10,6,8746.40000001,0.02410273
10,6,5003.40000000,0.01378803
10,6,263.40000000,0.00072586
10,6,10986.60000002,0.03027612
10,6,38.10000000,0.00010499
10,6,3378.80000000,0.00931107
10,6,7115.10000001,0.01960731
10,6,4688.30000000,0.01291970
10,5,819.80000000,0.00225915
10,5,20455.79999998,0.05637070
10,5,4222.60000000,0.01163635
10,5,1606.60000000,0.00442736
10,5,2554.40000000,0.00703924
10,5,497.30000000,0.00137043
10,5,1483.70000000,0.00408868
10,5,3092.40000000,0.00852183
10,5,1144.20000000,0.00315311
10,5,4613.40000000,0.01271329
10,4,3814.50000000,0.01051174
10,4,9677.20000002,0.02666777
10,4,5806.60000000,0.01600143
10,4,10536.30000002,0.02903522
10,4,3838.00000000,0.01057650
10,4,3670.50000000,0.01011491
10,4,509.00000000,0.00140267
10,4,2654.60000000,0.00731537
10,4,4215.90000000,0.01161789
10,4,8216.10000001,0.02264137
10,3,2469.40000000,0.00680500
10,3,39.60000000,0.00010913
10,3,6298.60000001,0.01735725
10,3,23197.69999994,0.06392664
10,3,5775.10000000,0.01591463
10,3,6732.10000001,0.01855186
10,3,17644.10000002,0.04862241
10,3,114.30000000,0.00031498
10,3,8403.80000001,0.02315862
10,3,3972.50000000,0.01094715
10,2,1311.70000000,0.00361469
10,2,20236.79999999,0.05576720
10,2,9450.80000002,0.02604387
10,2,13826.90000003,0.03810323
10,2,7123.50000001,0.01963046
10,2,11186.10000002,0.03082589
10,2,6531.30000001,0.01799851
10,2,2807.70000000,0.00773727
10,2,23.40000000,0.00006448
