m,b,t,c
1,1,1505800.8,0.4149583334
1,2,1025861.3,0.2826998732
1,3,1321674.5,0.3642180612
1,4,1454606.8,0.40085063930000003
1,5,1517389.9,0.4181519787
1,6,742549.8,0.2046268188
1,7,448716.6,0.12365426590000002
1,8,510943.8,0.1408024141
1,9,592399.9,0.1632495315
1,10,399066.6,0.10997205700000001
1,11,490664.8,0.13521406530000002
1,12,371850.6,0.1024720568
1,13,266048.6,0.073315862
1,14,189287.7,0.05216261590000001
2,1,132967.15,0.073284364
2,2,146553.6,0.08077248680000002
2,3,132366.4,0.07295326290000001
2,4,161826.7,0.0891902007
2,5,209587.3,0.11551328260000002
2,6,97310.05,0.0536320821
2,7,140896.65,0.07765467931
2,8,148750.8,0.0819834656
2,9,99122.05,0.05463075939999999
2,10,115456.5,0.0636334325
2,11,58809.75,0.032412781
2,12,114399.7,0.06305098099999999
2,13,55956.05,0.0308399747
2,14,72992.45,0.040229525
3,1,49838.633333,0.0412025739
3,2,107254.43333300001,0.0886693396
3,3,56799.10000400001,0.046956927999999995
3,4,73613.166673,0.06085744580000001
3,5,50026.4333333,0.0413578318
3,6,34092.7666667,0.028185157699999998
3,7,81967.333334,0.0677639991
3,8,92289.766663,0.0762977566
3,9,52329.26666559999,0.0432616292
3,10,65680.83333970001,0.05429963070000001
3,11,54169.033336399996,0.0447826002
3,12,18432.53333337,0.015238536
3,13,58105.700004000006,0.0480371196
3,14,30885.766667330005,0.025533868100000003
4,1,42150.35,0.0464620261
4,2,39404.625,0.0434354332
4,3,21320.675,0.023501625899999996
4,4,15227.05,0.016784667
4,5,35720.25,0.0393741732
4,6,25110.775,0.0276794256
4,7,33242.375,0.0366428297
4,8,34979.9,0.038558090700000006
4,9,24719.2,0.027247795399999997
4,10,40683.85,0.04484551369999999
4,11,33550.15,0.0369820878
4,12,28128.725,0.031006090200000003
4,13,18562.05,0.0204608135
4,14,16956.525,0.018691054800000002
5,1,22159.74,0.030533151399999996
5,2,21628.56,0.029801256700000008
5,3,29011.460000000003,0.039973903299999995
5,4,36393.46,0.0501453098
5,5,18656.12,0.025705632569999998
5,6,18585.659999999996,0.025608548200000004
5,7,21550.6,0.0296938381
5,8,20199.58,0.0278323138
5,9,25312.899999999998,0.0348777833
5,10,23340.780000000002,0.032160466199999994
5,11,23569.380000000005,0.0324754464
5,12,20972.339999999997,0.0288970733
5,13,13895.140000000003,0.019145640499999998
5,14,23184.34,0.0319449129
6,1,20643.983333,0.0341335703
6,2,18595.6,0.0307466932
6,3,19759.050001000003,0.0326703869
6,4,19132.433333,0.031634314499999996
6,5,13153.49999997,0.0217485118
6,6,28768.666665899997,0.04756724
6,7,8576.6333339,0.014180941399999999
6,8,18805.749998599997,0.0310941635
6,9,15278.38333267,0.0252618774
6,10,15160.616666999998,0.025067157200000002
6,11,10988.883333630001,0.018169449999999997
6,12,12673.533333700001,0.0209549163
6,13,15627.6666669,0.025839396100000002
6,14,12947.5166657,0.021407931199999997
7,1,11302.61428506,0.021802882500000002
7,2,10955.985714899998,0.021134231799999997
7,3,5383.914285390001,0.0103856372
7,4,14480.1571424,0.027932402000000002
7,5,9900.68571551,0.019098545100000003
7,6,6620.1714292999995,0.0127703924
7,7,8483.700000859999,0.016365162
7,8,7729.8714289,0.014911017330000002
7,9,12965.17142973,0.025009975900000002
7,10,24704.500000000004,0.0476552854
7,11,12818.114287400002,0.0247263008
7,12,13393.485713799999,0.0258361992
7,13,7795.557142399999,0.015037726000000001
7,14,11874.114285900001,0.022905313099999998
8,1,10546.0875,0.023249752000000005
8,2,17482.55,0.03854177682
8,3,21193.9125,0.0467237929
8,4,5282.85,0.0116464946
8,5,10081.0375,0.022224509599999998
8,6,4702.2875,0.0103665951
8,7,9314.275,0.0205341159
8,8,9650.15,0.021274581199999996
8,9,12675.6875,0.027944637399999993
8,10,16469.675,0.03630880732
8,11,12298.725,0.027113591130000003
8,12,7572.3625,0.0166939209
8,13,9032.475,0.019912863800000003
8,14,13713.3,0.030232142899999998
9,1,10220.944445480001,0.0253495647
9,2,10007.35555638,0.024819830299999998
9,3,11727.2888882,0.029085537699999997
9,4,9395.455554819997,0.0233022213
9,5,10785.5333326,0.0267498346
9,6,10753.9555547,0.0266715168
9,7,5923.977777989,0.0146924052
9,8,7699.5777778,0.019096175099999998
9,9,6115.877778100001,0.015168347700000001
9,10,10078.822222600002,0.0249970789
9,11,8575.711110240001,0.0212691248
9,12,10071.855555220001,0.024979800599999998
9,13,8840.055555399998,0.021924740999999998
9,14,7233.166665819999,0.0179394015
10,1,4488.89,0.0123701776
10,2,11007.689999999999,0.030334242600000005
10,3,4816.14,0.013271990899999999
10,4,5905.5199999999995,0.016274029900000004
