m,b,t,c
1,1,620,0.000170855
1,1,7454,0.002054123
1,1,143270,0.039481371
1,1,478926,0.131979167
1,1,1110128,0.305921517
1,1,1688261,0.465239473
1,1,2359546,0.650227623
1,1,2540055,0.699971065
1,1,3211222,0.884926698
1,1,3518526,0.969611442
1,2,540792,0.149027778
1,2,2016722,0.555754519
1,2,687665,0.189502039
1,2,1781975,0.491064539
1,2,255101,0.070298997
1,2,189898,0.052330798
1,2,1222436,0.336870591
1,2,694038,0.191258267
1,2,318833,0.087861828
1,2,2551153,0.703029376
1,3,950218,0.261854608
1,3,1575425,0.434144896
1,3,716418,0.197425595
1,3,192710,0.05310571
1,3,473082,0.130368717
1,3,290434,0.080035825
1,3,1770632,0.487938713
1,3,2732812,0.753089727
1,3,1255998,0.346119378
1,3,3259016,0.898097443
1,4,156384,0.043095238
1,4,715011,0.197037864
1,4,718887,0.198105985
1,4,774412,0.213407187
1,4,657322,0.181140322
1,4,5184499,1.42870894
1,4,1835732,0.505878527
1,4,1001847,0.276082176
1,4,1772339,0.488409116
1,4,1729635,0.476641038
1,5,289058,0.079656636
1,5,73582,0.020277227
1,5,192190,0.052962412
1,5,82652,0.022776675
1,5,2320251,0.639398975
1,5,614848,0.169435626
1,5,836387,0.230485836
1,5,702053,0.193466986
1,5,3322588,0.915616182
1,5,6740290,1.857443232
1,6,476201,0.13122823
1,6,2493922,0.687258047
1,6,956311,0.263533675
1,6,403361,0.111155478
1,6,107269,0.029560461
1,6,530396,0.146162919
1,6,897251,0.247258322
1,6,448511,0.123597608
1,6,657360,0.181150794
1,6,454916,0.125362654
1,7,504407,0.139001047
1,7,27871,0.0076805
1,7,52861,0.014567075
1,7,1174596,0.323687169
1,7,238375,0.06568976
1,7,129237,0.035614253
1,7,596739,0.164445271
1,7,291458,0.080318011
1,7,660823,0.182105104
1,7,810799,0.223434469
1,8,712945,0.19646853
1,8,761160,0.209755291
1,8,636586,0.175426036
1,8,542012,0.149363977
1,8,541969,0.149352127
1,8,447001,0.123181493
1,8,45520,0.012544092
1,8,637470,0.175669643
1,8,40364,0.011123236
1,8,744411,0.205139716
1,9,201492,0.055525794
1,9,20105,0.005540399
1,9,76392,0.021051587
1,9,631640,0.174063051
1,9,99870,0.027521495
1,9,1175229,0.323861607
1,9,2295073,0.632460593
1,9,319460,0.088034612
1,9,171765,0.047333829
1,9,932973,0.257102348
1,10,56683,0.015620315
1,10,156671,0.043174328
1,10,192200,0.052965168
1,10,336001,0.092592868
1,10,201159,0.055434028
1,10,394095,0.108602017
1,10,305557,0.084203318
1,10,885081,0.243904597
1,10,332581,0.091650408
1,10,1130638,0.311573523
1,11,443893,0.122325011
1,11,75697,0.020860064
1,11,1170900,0.322668651
1,11,21889,0.006032022
1,11,224620,0.06189925
1,11,113779,0.031354442
1,11,172523,0.047542714
1,11,2085315,0.574656911
1,11,257220,0.070882937
1,11,340812,0.093918651
1,12,1039514,0.286462191
1,12,208267,0.057392802
1,12,861358,0.237367174
1,12,390648,0.107652116
1,12,208941,0.057578538
1,12,22228,0.006125441
1,12,624881,0.172200452
1,12,182782,0.050369819
1,12,32832,0.009047619
1,12,147055,0.040524416
1,13,695592,0.191686508
1,13,198376,0.054667108
1,13,165339,0.045562996
1,13,316055,0.087096285
1,13,87625,0.024147101
1,13,336040,0.092603616
1,13,148567,0.040941082
1,13,93391,0.025736056
1,13,149787,0.041277282
1,13,469714,0.129440586
1,14,348790,0.096117174
1,14,292184,0.080518078
1,14,21521,0.005930611
1,14,388206,0.106979167
1,14,136972,0.037745811
1,14,3676,0.001013007
1,14,15666,0.00431713
1,14,118394,0.032626213
1,14,532958,0.146868937
1,14,34510,0.009510031
2,1,47848,0.026371252
2,1,74404,0.041007496
2,1,180921.5,0.099714231
2,1,35495,0.019562941
2,1,504012.5,0.277784667
2,1,45945,0.025322421
2,1,25277,0.013931327
2,1,258479,0.142459766
2,1,122192,0.067345679
2,1,35097.5,0.01934386
2,2,10145.5,0.005591656
2,2,94373,0.052013338
2,2,258585.5,0.142518463
2,2,16992,0.009365079
2,2,128993.5,0.071094301
2,2,230945,0.127284502
2,2,423994.5,0.233683036
2,2,57032.5,0.031433256
2,2,193053.5,0.106400739
2,2,51421,0.028340498
2,3,232128.5,0.127936784
2,3,73109.5,0.040294037
2,3,56781,0.031294643
2,3,51158.5,0.028195822
2,3,13877,0.007648258
2,3,421688,0.232411817
2,3,18093.5,0.009972167
2,3,24224,0.01335097
2,3,305895.5,0.168593199
2,3,126708.5,0.069834932
2,4,345204,0.190257937
2,4,71863,0.039607033
2,4,128074,0.070587522
2,4,105195,0.057977844
2,4,47240,0.026036155
2,4,333316.5,0.183706184
2,4,175432.5,0.096688988
2,4,129412,0.071324956
2,4,66644,0.0367306
2,4,215886,0.118984788
2,5,80464.5,0.044347718
2,5,324656,0.178932981
2,5,433512.5,0.238928847
2,5,337740.5,0.186144455
2,5,27596,0.015209436
2,5,229197,0.126321098
2,5,317833,0.175172509
2,5,40069,0.022083884
2,5,126929.5,0.069956735
2,5,177875,0.098035163
2,6,95163,0.052448743
2,6,46200,0.025462963
2,6,9324.5,0.005139164
2,6,1131.5,0.000623622
2,6,68530.5,0.037770337
2,6,171174,0.094341931
2,6,19617.5,0.010812114
2,6,102150.5,0.056299879
2,6,158322,0.087258598
2,6,301487,0.16616347
2,7,66068.5,0.036413415
2,7,290525.5,0.160122079
2,7,235894.5,0.130012401
2,7,98610,0.054348545
2,7,83,4.57451E-05
2,7,71678,0.039505071
2,7,116363,0.064133047
2,7,195107.5,0.107532793
2,7,62460,0.034424603
2,7,272176.5,0.150009094
2,8,4726,0.002604718
2,8,14737.5,0.00812252
2,8,52754.5,0.029075452
2,8,75962.5,0.041866457
2,8,53336.5,0.029396219
2,8,5749.5,0.003168816
2,8,178345.5,0.098294478
2,8,567182.5,0.312600584
2,8,143768.5,0.079237489
2,8,390945,0.215467923
2,9,156189,0.086083003
2,9,15186.5,0.008369985
2,9,16130,0.008889991
2,9,38330,0.021125441
2,9,11646.5,0.006418926
2,9,630090,0.347271825
2,9,42322,0.023325617
2,9,4927.5,0.002715774
2,9,64189,0.035377535
2,9,12210,0.006729497
2,10,47254,0.026043871
2,10,40619.5,0.022387291
2,10,2046,0.001127646
2,10,39572.5,0.02181024
2,10,259989,0.143291997
2,10,181295,0.099920084
2,10,25705.5,0.014167493
2,10,273705,0.150851521
2,10,228907.5,0.126161541
2,10,55471,0.030572641
2,11,18213.5,0.010038305
2,11,56101.5,0.030920139
2,11,105816,0.058320106
2,11,77084.5,0.042484843
2,11,79077.5,0.043583278
2,11,10770,0.005935847
2,11,109430.5,0.060312224
2,11,20086,0.011070326
2,11,36927.5,0.020352458
2,11,74590.5,0.041110284
2,12,7712,0.004250441
2,12,1186,0.00065366
2,12,165080.5,0.090983521
2,12,95402,0.052580467
2,12,108640,0.059876543
2,12,13894,0.007657628
2,12,411814,0.226969797
2,12,208283,0.114794422
2,12,86148.5,0.047480434
2,12,45837,0.025262897
2,13,3168,0.001746032
2,13,143580,0.079133598
2,13,107738,0.059379409
2,13,112014,0.061736111
2,13,10174,0.005607363
2,13,82868.5,0.045672674
2,13,44376.5,0.024457948
2,13,42832,0.023606702
2,13,9639,0.0053125
2,13,3170.5,0.00174741
2,14,270607,0.14914407
2,14,41343.5,0.022786321
2,14,12716.5,0.007008653
2,14,120384.5,0.066349482
2,14,32489.5,0.01790647
2,14,34596,0.01906746
2,14,86570,0.047712743
2,14,31712.5,0.01747823
2,14,86420,0.047630071
2,14,13085,0.00721175
3,1,15438.33333,0.012763172
3,1,42402.33333,0.035054839
3,1,29187.33333,0.02412974
3,1,94021,0.077729001
3,1,11879,0.009820602
3,1,82143.66667,0.067909777
3,1,132996,0.109950397
3,1,54166,0.044780093
3,1,18905,0.015629134
3,1,17247.66667,0.014258984
3,2,149675.6667,0.123739804
3,2,77148.66667,0.063780313
3,2,304952.3333,0.252110064
3,2,132031.3333,0.109152888
3,2,21391,0.017684358
3,2,11349,0.00938244
3,2,66349,0.054852017
3,2,61234.33333,0.050623622
3,2,199202.6667,0.164684744
3,2,49210.33333,0.040683146
3,3,296,0.000244709
3,3,13702,0.011327712
3,3,63896.66667,0.052824625
3,3,113529,0.093856647
3,3,25519.66667,0.021097608
3,3,12589,0.010407573
3,3,18688.66667,0.015450287
3,3,80644.33333,0.066670249
3,3,80859,0.066847718
3,3,158266.6667,0.130842152
3,4,7189,0.005943287
3,4,48357.33333,0.039977954
3,4,106588.3333,0.088118662
3,4,118366,0.097855489
3,4,129981.6667,0.107458388
3,4,122218.6667,0.101040564
3,4,30613.33333,0.025308642
3,4,120236.6667,0.099402006
3,4,9039,0.007472718
3,4,43541.66667,0.035996748
3,5,34123.66667,0.028210703
3,5,2706.333333,0.002237379
3,5,14621.33333,0.012087743
3,5,114581.3333,0.094726631
3,5,16613.66667,0.013734843
3,5,45911.33333,0.037955798
3,5,12438.66667,0.010283289
3,5,197015.6667,0.162876709
3,5,20625.33333,0.017051367
3,5,41627,0.034413856
3,6,9802.333333,0.008103781
3,6,36359.66667,0.030059248
3,6,33030,0.027306548
3,6,4014.666667,0.003319004
3,6,4611.666667,0.003812555
3,6,16322,0.013493717
3,6,28537.66667,0.023592648
3,6,60436.33333,0.0499639
3,6,69221.33333,0.057226631
3,6,78592,0.064973545
3,7,25930,0.021436839
3,7,39500.66667,0.032655974
3,7,56414,0.046638558
3,7,64855,0.053616898
3,7,43820.33333,0.036227127
